station_name,operator,address,city,district_area,state,pincode,latitude,longitude,num_chargers,connector_types,power_kw,status,pricing,source_url,coord_precision,corridor
Sri Kongu Bakes,Zeon Charging,NH - 544 Bye Pass,Perundurai,Perundurai,Tamil Nadu,638052.0,11.28353,77.55823,1,"CCS (Type 2), IEC 60309 3-pin",30.0,Operational,On request,https://www.evchargestation.in/ev-station/sri-kongu-bakes-perundurai-tamil-nadu,verified (site page),Urban/City
Jacks Charging Station,Unknown Operator,"APK road, near police check post, Mandela Nagar",Madurai,Perungudi,Tamil Nadu,625022.0,9.84301,78.10406,1,CCS (Type 2),30.0,Operational,On request,https://www.evchargestation.in/ev-station/jacks-charging-station-madurai-tamil-nadu,verified (site page),Urban/City
Kaveri Garage Piratiyur,Zeon Charging,"No 27/5, Dindigul Main Road, Dheeran Nagar",Piratiyur,Piratiyur,Tamil Nadu,620009.0,10.79194,78.65714,1,CCS (Type 2),24.0,Operational,On request,https://www.evchargestation.in/ev-station/kaveri-garage-piratiyur-piratiyur-tamil-nadu,verified (site page),Urban/City
Ibex River Resort Pollachi,Zeon Charging,"Trichur Road, Thalanar Farms, Ambrampalam",Pollachi,Pollachi,Tamil Nadu,642001.0,10.64693,76.91992,1,Type 2 (Tethered Connector),7.4,Operational,21.90/kWh,https://www.evchargestation.in/ev-station/ibex-river-resort-pollachi-pollachi-tamil-nadu,verified (site page),Urban/City
Siva Selvi Charging Station,Relux Electric (India),"334/1A Servaikaranpalayam, Govindanoor",Pollachi,Pollachi,Tamil Nadu,642005.0,10.72709336,76.92989238,1,CCS (Type 2),49.0,Operational,Rs.24/-,https://www.evchargestation.in/ev-station/siva-selvi-charging-station-pollachi-tamil-nadu,verified (site page),Urban/City
IOCL - S M Agency,IOCL,"Survey No 381/2, Malaiyur, Karambakudi, Alangudi, Pudukkottai",Alangudi,Pudukkottai,Tamil Nadu,,10.3667,79.0333,2,AC Type 2,,Operational,,https://www.zigwheels.com/electric-charging-station/Pudukkottai,approximate (town/road-level),Pudukkottai district
IOCL - Sugan Tradings,IOCL,"No 294/3A, Rasanayakkanpatti, Viralimalai, Poyyamani, Pudukkottai",Viralimalai,Pudukkottai,Tamil Nadu,,10.6244,78.5632,2,AC Type 2,,Operational,,https://www.zigwheels.com/electric-charging-station/Pudukkottai,approximate (town/road-level),NH36/NH38 Trichy-Ramnad
VASAN Charging Station,Relux Electric (India),"36R Mandaiyur, Pudukottai",Pudukottai,Pudukottai,Tamil Nadu,622515.0,10.65218943,78.7421418,1,CCS (Type 2),30.0,Operational,Rs.22/-,https://www.evchargestation.in/ev-station/vasan-charging-station-tamil-nadu,verified (site page),Urban/City
Paramakudi - Sri Meenakshi Bavan,Zeon Charging,"Kochi-Madurai-Dhanushkodi Rd, Kamuthakudi, 623701",Paramakudi,Ramanathapuram,Tamil Nadu,623701.0,9.5703875,78.5387344,2,CCS2 (DC),120 kW,Operational,,https://zeoncharging.com/ev-charging-kamutnakudi-paramakudi-sri-meenakshi-bavan-hgcq-5f5-kamuthakudi-tamil-nadu-india-623701,verified (site page),NH87 Madurai-Rameswaram
Anish Complex,Unknown Operator,"Anish Complex, Shop no 4, ECR, Ramanathapuram",Ramanathapuram,Ramanathapuram,Tamil Nadu,,9.3639,78.8395,1,AC Type 1,,Operational,,https://www.zigwheels.com/electric-charging-station/Ramanathapuram,approximate (town/road-level),ECR/NH87 Ramanathapuram
